Date;IHK
2017-Jan;137.25
2017-Feb;137.74
2017-Mar;137.38
2017-Apr;137.77
2017-Mei;138.18
2017-Jun;139.95
2017-Jul;139.61
2017-Aug;139.8
2017-Sep;140.14
2017-Okt;139.66
2017-Nov;139.31
2017-Dec;140
2018-Jan;140.4
2018-Feb;140.77
2018-Mar;141.67
2018-Apr;141.89
2018-Mei;142.4
2018-Jun;144.45
2018-Jul;144.45
2018-Aug;144.15
2018-Sep;143.76
2018-Okt;143.34
2018-Nov;143.74
2018-Dec;145.58
2019-Jan;146.38
2019-Feb;147.15
2019-Mar;146.87
2019-Apr;147.18
2019-Mei;148
2019-Jun;148.97
2019-Jul;148.82
2019-Aug;148.3
2019-Sep;148.71
2019-Okt;148.93
2019-Nov;148.83
2019-Dec;149.42
2020-Jan;104.75
2020-Feb;105.41
2020-Mar;105.27
2020-Apr;105.19
2020-Mei;105.69
2020-Jun;106.04
2020-Jul;105.65
2020-Aug;105.49
2020-Sep;105.5
2020-Okt;105.46
2020-Nov;105.87
2020-Dec;106.17
2021-Jan;106.16
2021-Feb;106.26
2021-Mar;106.21
2021-Apr;106.31
2021-Mei;106.21
2021-Jun;107.08
2021-Jul;106.83
2021-Aug;106.92
2021-Sep;107.27
2021-Okt;107.04
2021-Nov;107.06
2021-Des;107.4
2022-Jan;107.02
